,Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao.Piche,Temp.Comp.Media,Umidade.Relativa.Media,Velocidade.do.Vento.Media
1,1,1/1/2000,1,2.6,133,18.2,7.6,8,427,87,4.133.333
2,1,1/1/2000,2,2.6,133,18.2,,8,427,87,
3,1,2/1/2000,1,,142,,11.2,31,426,60,1.5
4,1,2/1/2000,2,0,142,17.8,,31,426,60,
5,1,3/1/2000,1,,119,,3.1,36,399,82,3.333.333
6,1,3/1/2000,2,0,119,17,,36,399,82,
7,1,4/1/2000,1,,146,,4.4,24,440,119,0.933333
8,1,4/1/2000,2,0.1,146,19.7,,24,440,119,
9,1,5/1/2000,1,,187,,11.2,18,538,81,0.933333
10,1,5/1/2000,2,0,187,17.8,,18,538,81,
11,1,6/1/2000,1,,187,,8.5,33,568,101,1.5
12,1,6/1/2000,2,0,187,21.2,,33,568,101,
13,1,7/1/2000,1,,187,,10.2,30,584,96,1.866.667
14,1,7/1/2000,2,0,187,21.6,,30,584,96,
15,1,8/1/2000,1,,209,,10.8,31,659,55,1.966.667
16,1,8/1/2000,2,0,209,22.4,,31,659,55,
17,1,9/1/2000,1,,222,,10.9,40,662,50,2.2
18,1,9/1/2000,2,0,222,21.8,,40,662,50,
19,1,10/1/2000,1,,193,,6.8,47,655,68,1.366.667
20,1,10/1/2000,2,0,193,24,,47,655,68,
21,1,11/1/2000,1,,215,,10.6,41,665,49,2.266.667
22,1,11/1/2000,2,0,215,23.4,,41,665,49,
23,1,12/1/2000,1,,193,,7.7,46,625,90,1.433.333
24,1,12/1/2000,2,0,193,22.4,,46,625,90,
25,1,13/01/2000,1,,197,,2,29,650,112,0.666667
26,1,13/01/2000,2,1.9,197,23.2,,29,650,112,
27,1,14/01/2000,1,,206,,9.5,23,637,91,0.933333
28,1,14/01/2000,2,0,206,22,,23,637,91,
29,1,15/01/2000,1,,184,,1.4,31,612,117,0.933333
30,1,15/01/2000,2,0.1,184,23.8,,31,612,117,
31,1,16/01/2000,1,,207,,6.7,22,627,113,1.3
32,1,16/01/2000,2,0,207,23,,22,627,113,
33,1,17/01/2000,1,,204,,5.6,28,648,127,2.866.667
34,1,17/01/2000,2,3.2,204,24.4,,28,648,127,
35,1,18/01/2000,1,,144,,0.8,27,534,100,1.766.667
36,1,18/01/2000,2,2.3,144,23.2,,27,534,100,
