paper,conf,year,status
58571,1,2010,2
59379,1,2010,1
60650,1,2010,2
60654,1,2010,2
60679,1,2010,2
60748,1,2010,2
60806,1,2010,1
60830,1,2010,1
61053,1,2010,2
61054,1,2010,2
61063,1,2010,2
61088,1,2010,2
61130,1,2010,2
61131,1,2010,1
61144,1,2010,1
61151,1,2010,1
61174,1,2010,1
61193,1,2010,2
61420,1,2010,1
61432,1,2010,1
61435,1,2010,2
61438,1,2010,2
61446,1,2010,1
61452,1,2010,2
61453,1,2010,2
61454,1,2010,1
61462,1,2010,2
61473,1,2010,2
61478,1,2010,1
61479,1,2010,1
61511,1,2010,2
61534,1,2010,1
61536,1,2010,1
61540,1,2010,1
61541,1,2010,2
61545,1,2010,2
61562,1,2010,2
61570,1,2010,1
61572,1,2010,2
61580,1,2010,1
61636,1,2010,2
61637,1,2010,2
61689,1,2010,2
61695,1,2010,1
61783,1,2010,1
61795,1,2010,1
61810,1,2010,1
61814,1,2010,2
61815,1,2010,1
61816,1,2010,1
61834,1,2010,1
61843,1,2010,1
61881,1,2010,2
61883,1,2010,2
61885,1,2010,2
61931,1,2010,2
61952,1,2010,2
61991,1,2010,2
62167,1,2010,1
62169,1,2010,1
62175,1,2010,2
62178,1,2010,1
62180,1,2010,2
62181,1,2010,2
62194,1,2010,1
62201,1,2010,1
62205,1,2010,1
62206,1,2010,1
62219,1,2010,2
62222,1,2010,2
62241,1,2010,2
62264,1,2010,2
62265,1,2010,2
62266,1,2010,2
62272,1,2010,2
62283,1,2010,1
62296,1,2010,1
62298,1,2010,1
62299,1,2010,2
62301,1,2010,2
62317,1,2010,2
62319,1,2010,2
62320,1,2010,1
62323,1,2010,1
62327,1,2010,2
62330,1,2010,2
62334,1,2010,1
62341,1,2010,1
62342,1,2010,1
62343,1,2010,1
62344,1,2010,2
62345,1,2010,1
62347,1,2010,1
62349,1,2010,2
62351,1,2010,1
62352,1,2010,1
62356,1,2010,2
62359,1,2010,1
62360,1,2010,1
62362,1,2010,1
62366,1,2010,1
62369,1,2010,2
62370,1,2010,1
62372,1,2010,1
62374,1,2010,2
62382,1,2010,1
62383,1,2010,1
62394,1,2010,1
62400,1,2010,1
62408,1,2010,2
62410,1,2010,2
62411,1,2010,2
62412,1,2010,2
62413,1,2010,1
62414,1,2010,1
62415,1,2010,1
62416,1,2010,1
62417,1,2010,1
62418,1,2010,2
62419,1,2010,2
62422,1,2010,2
62425,1,2010,2
62428,1,2010,2
62436,1,2010,1
62438,1,2010,2
62439,1,2010,2
62440,1,2010,2
62442,1,2010,1
62443,1,2010,1
62444,1,2010,1
62446,1,2010,2
62447,1,2010,2
62448,1,2010,1
62450,1,2010,1
62451,1,2010,1
62452,1,2010,1
62454,1,2010,1
62455,1,2010,2
62456,1,2010,2
62459,1,2010,1
62461,1,2010,2
62462,1,2010,1
62463,1,2010,1
62464,1,2010,1
62466,1,2010,2
62467,1,2010,1
62468,1,2010,2
62469,1,2010,2
62470,1,2010,2
62471,1,2010,1
62472,1,2010,1
62473,1,2010,1
62474,1,2010,2
62476,1,2010,2
62477,1,2010,1
62478,1,2010,2
62479,1,2010,1
62480,1,2010,2
62481,1,2010,2
62482,1,2010,1
62483,1,2010,1
62484,1,2010,2
62486,1,2010,1
62487,1,2010,1
62491,1,2010,2
62492,1,2010,2
62493,1,2010,1
62494,1,2010,1
62495,1,2010,2
62497,1,2010,2
62498,1,2010,1
62499,1,2010,1
62500,1,2010,1
62501,1,2010,1
62503,1,2010,1
62504,1,2010,2
62505,1,2010,1
62507,1,2010,1
62508,1,2010,1
62509,1,2010,1
62511,1,2010,1
62515,1,2010,1
62516,1,2010,2
62519,1,2010,1
62520,1,2010,1
62521,1,2010,2
62522,1,2010,1
62523,1,2010,1
62524,1,2010,1
62525,1,2010,1
62526,1,2010,1
62527,1,2010,1
62528,1,2010,1
62529,1,2010,1
62530,1,2010,2
62531,1,2010,1
62532,1,2010,2
62533,1,2010,2
62535,1,2010,1
62537,1,2010,2
62538,1,2010,1
62539,1,2010,1
62542,1,2010,1
62543,1,2010,1
62544,1,2010,2
62546,1,2010,1
62549,1,2010,1
62551,1,2010,1
62552,1,2010,1
62553,1,2010,1
62572,1,2010,1
62898,1,2010,1
68089,2,2010,2
68525,2,2010,2
69419,2,2010,2
69845,2,2010,2
70580,2,2010,2
70702,2,2010,1
70722,2,2010,2
70781,2,2010,2
70782,2,2010,1
70836,2,2010,2
70868,2,2010,2
70874,2,2010,1
70882,2,2010,2
71185,2,2010,1
71209,2,2010,2
71295,2,2010,1
72700,2,2010,1
72833,2,2010,2
72840,2,2010,1
72860,2,2010,2
72870,2,2010,2
72874,2,2010,2
72885,2,2010,1
72921,2,2010,1
72927,2,2010,2
72931,2,2010,1
72959,2,2010,1
72963,2,2010,1
72976,2,2010,1
72993,2,2010,2
73007,2,2010,2
73038,2,2010,1
73039,2,2010,2
73040,2,2010,1
73042,2,2010,2
73044,2,2010,1
73066,2,2010,1
73087,2,2010,2
73120,2,2010,2
73152,2,2010,2
73171,2,2010,1
73173,2,2010,2
73175,2,2010,2
73176,2,2010,2
73207,2,2010,1
73216,2,2010,1
73219,2,2010,1
73223,2,2010,2
73230,2,2010,1
73243,2,2010,2
73314,2,2010,1
73356,2,2010,1
73385,2,2010,1
73453,2,2010,2
73460,2,2010,1
73493,2,2010,1
73510,2,2010,1
73516,2,2010,1
73519,2,2010,2
73526,2,2010,1
73556,2,2010,1
73557,2,2010,2
73558,2,2010,1
73626,2,2010,2
73647,2,2010,2
73649,2,2010,1
73666,2,2010,1
73710,2,2010,1
73730,2,2010,1
73732,2,2010,1
73734,2,2010,1
73735,2,2010,2
73777,2,2010,1
73780,2,2010,2
73807,2,2010,2
73808,2,2010,1
73809,2,2010,1
73811,2,2010,1
73819,2,2010,1
73820,2,2010,1
73821,2,2010,1
73823,2,2010,2
73835,2,2010,1
73836,2,2010,1
73837,2,2010,1
73838,2,2010,1
73839,2,2010,1
73841,2,2010,1
73852,2,2010,2
73864,2,2010,2
73865,2,2010,1
73867,2,2010,1
73870,2,2010,1
73871,2,2010,1
73872,2,2010,1
73873,2,2010,1
73874,2,2010,1
73875,2,2010,1
73878,2,2010,2
73879,2,2010,2
73880,2,2010,1
73882,2,2010,2
73883,2,2010,1
73884,2,2010,2
73885,2,2010,2
73890,2,2010,1
73891,2,2010,1
73892,2,2010,1
73894,2,2010,2
73897,2,2010,2
73898,2,2010,1
73899,2,2010,1
73900,2,2010,1
73901,2,2010,1
73902,2,2010,1
73906,2,2010,1
73908,2,2010,1
73912,2,2010,2
73914,2,2010,1
73917,2,2010,1
73918,2,2010,1
73921,2,2010,1
73923,2,2010,1
73926,2,2010,1
73927,2,2010,2
73929,2,2010,1
73933,2,2010,1
73935,2,2010,1
73936,2,2010,2
73937,2,2010,1
73943,2,2010,1
73944,2,2010,1
73945,2,2010,1
73946,2,2010,1
73949,2,2010,2
73951,2,2010,2
73955,2,2010,1
73956,2,2010,2
73958,2,2010,1
73962,2,2010,2
73966,2,2010,2
73969,2,2010,1
73970,2,2010,1
73972,2,2010,1
73981,2,2010,1
73986,2,2010,1
73989,2,2010,2
73991,2,2010,1
73995,2,2010,2
74048,2,2010,2
74052,2,2010,1
74067,2,2010,1
74082,2,2010,2
74095,2,2010,1
74160,2,2010,1
77291,3,2011,1
77335,3,2011,2
77442,3,2011,2
77597,3,2011,1
77655,3,2011,1
77696,3,2011,1
77709,3,2011,1
77723,3,2011,2
77741,3,2011,1
77785,3,2011,1
77795,3,2011,2
77823,3,2011,1
77825,3,2011,1
77826,3,2011,1
77982,3,2011,1
78075,3,2011,2
78083,3,2011,1
78085,3,2011,1
78118,3,2011,1
78188,3,2011,1
78192,3,2011,2
78196,3,2011,2
78215,3,2011,1
78222,3,2011,1
78224,3,2011,1
78286,3,2011,2
78287,3,2011,2
78288,3,2011,1
78291,3,2011,1
78295,3,2011,2
78297,3,2011,1
78310,3,2011,1
78311,3,2011,1
78323,3,2011,2
78336,3,2011,1
78338,3,2011,2
78339,3,2011,1
78343,3,2011,2
78349,3,2011,2
78351,3,2011,1
78363,3,2011,1
78367,3,2011,2
78368,3,2011,1
78371,3,2011,1
78372,3,2011,1
78379,3,2011,1
78384,3,2011,2
78386,3,2011,1
78387,3,2011,1
78388,3,2011,1
78390,3,2011,1
78391,3,2011,1
78392,3,2011,1
78394,3,2011,1
78399,3,2011,1
78400,3,2011,2
78404,3,2011,1
78413,3,2011,1
78415,3,2011,1
78416,3,2011,1
78418,3,2011,1
78421,3,2011,1
78423,3,2011,2
78427,3,2011,1
78428,3,2011,2
78430,3,2011,1
78433,3,2011,1
78435,3,2011,1
78438,3,2011,1
78442,3,2011,1
78449,3,2011,1
78456,3,2011,1
78461,3,2011,1
78466,3,2011,1
78467,3,2011,2
78468,3,2011,1
78482,3,2011,1
78483,3,2011,2
78492,3,2011,1
78494,3,2011,2
78495,3,2011,1
78502,3,2011,1
78512,3,2011,1
78513,3,2011,1
78557,3,2011,1
78564,3,2011,2
78578,3,2011,2
78972,3,2011,1
78989,3,2011,1
80682,3,2011,2
80683,3,2011,2
80686,3,2011,2
80786,3,2011,2
80810,3,2011,1
80813,3,2011,1
80830,3,2011,1
80834,3,2011,2
80839,3,2011,2
80842,3,2011,2
80843,3,2011,2
80848,3,2011,2
80854,3,2011,2
80865,3,2011,2
81151,4,2011,2
82552,4,2011,2
82833,4,2011,2
83282,4,2011,2
83910,4,2011,2
83982,4,2011,2
84007,4,2011,1
84037,4,2011,1
84054,4,2011,1
84098,4,2011,1
84100,4,2011,2
84134,4,2011,1
84143,4,2011,1
84150,4,2011,1
84176,4,2011,2
84177,4,2011,1
84178,4,2011,2
84179,4,2011,2
84187,4,2011,1
84191,4,2011,2
84193,4,2011,1
84196,4,2011,1
84212,4,2011,2
84215,4,2011,2
84216,4,2011,1
84218,4,2011,2
84220,4,2011,1
84221,4,2011,1
84222,4,2011,1
84224,4,2011,1
84227,4,2011,1
84230,4,2011,1
84231,4,2011,1
84238,4,2011,1
84242,4,2011,1
84251,4,2011,1
84254,4,2011,1
84256,4,2011,2
84261,4,2011,1
84266,4,2011,1
84270,4,2011,1
84273,4,2011,1
84289,4,2011,1
84292,4,2011,1
84322,4,2011,2
84323,4,2011,1
84325,4,2011,2
84342,4,2011,1
84346,4,2011,2
84351,4,2011,1
84356,4,2011,1
84357,4,2011,2
84373,4,2011,2
84377,4,2011,2
84379,4,2011,2
84396,4,2011,1
84401,4,2011,2
84403,4,2011,2
84408,4,2011,1
84416,4,2011,2
85474,4,2011,1
85589,4,2011,2
85590,4,2011,2
85591,4,2011,1
85602,4,2011,2
85610,4,2011,2
85615,4,2011,2
85633,4,2011,2
85636,4,2011,2
85646,4,2011,2
85649,4,2011,1
85651,4,2011,2
85673,4,2011,1
85678,4,2011,1
85681,4,2011,2
85692,4,2011,1
85694,4,2011,2
85699,4,2011,2
85700,4,2011,2
85720,4,2011,1
85725,4,2011,1
85731,4,2011,1
85732,4,2011,1
85742,4,2011,2
85743,4,2011,1
85810,4,2011,2
85956,4,2011,2
87854,4,2011,1
88535,4,2011,1
88558,4,2011,1
88247,5,2012,2
90921,5,2012,1
90939,5,2012,1
91189,5,2012,1
91432,5,2012,2
91994,5,2012,1
92020,5,2012,1
92082,5,2012,2
92106,5,2012,1
92321,5,2012,1
92365,5,2012,1
92400,5,2012,1
92405,5,2012,1
92437,5,2012,1
92463,5,2012,1
92507,5,2012,1
92540,5,2012,2
92552,5,2012,1
92553,5,2012,1
92609,5,2012,1
92613,5,2012,1
92618,5,2012,1
92621,5,2012,2
92623,5,2012,1
92660,5,2012,2
92663,5,2012,2
92697,5,2012,1
92704,5,2012,1
92730,5,2012,1
92734,5,2012,1
92738,5,2012,1
92751,5,2012,1
92755,5,2012,1
92787,5,2012,2
92790,5,2012,2
92793,5,2012,1
92802,5,2012,1
92808,5,2012,1
92816,5,2012,2
92829,5,2012,2
92860,5,2012,1
92902,5,2012,1
92907,5,2012,1
92933,5,2012,1
92935,5,2012,1
92940,5,2012,1
93330,5,2012,1
93331,5,2012,1
93332,5,2012,2
93334,5,2012,1
93335,5,2012,2
93336,5,2012,2
93337,5,2012,2
93343,5,2012,2
93347,5,2012,2
93357,5,2012,1
93365,5,2012,2
93366,5,2012,1
93367,5,2012,1
93368,5,2012,1
93369,5,2012,2
93370,5,2012,1
93371,5,2012,1
93372,5,2012,1
93373,5,2012,1
93374,5,2012,1
93375,5,2012,1
93377,5,2012,2
93379,5,2012,1
93380,5,2012,2
93381,5,2012,1
93382,5,2012,1
93384,5,2012,1
93386,5,2012,1
93388,5,2012,2
93394,5,2012,1
93403,5,2012,1
93404,5,2012,1
93419,5,2012,1
93425,5,2012,1
93504,5,2012,2
93510,5,2012,1
93522,5,2012,1
93573,5,2012,1
93597,5,2012,2
93608,5,2012,2
93609,5,2012,2
93620,5,2012,1
93668,5,2012,1
93703,5,2012,1
93705,5,2012,2
93706,5,2012,2
93712,5,2012,2
93733,5,2012,1
93757,5,2012,2
93852,5,2012,2
93855,5,2012,2
93863,5,2012,1
93865,5,2012,1
93898,5,2012,1
93899,5,2012,2
93901,5,2012,1
93902,5,2012,1
93906,5,2012,1
93913,5,2012,1
93915,5,2012,1
93917,5,2012,1
93919,5,2012,1
93921,5,2012,2
93923,5,2012,1
93925,5,2012,1
93926,5,2012,1
93929,5,2012,2
93930,5,2012,1
93931,5,2012,2
93938,5,2012,1
93939,5,2012,1
93941,5,2012,2
93952,5,2012,2
93954,5,2012,1
93958,5,2012,2
93959,5,2012,1
93963,5,2012,1
93967,5,2012,1
93968,5,2012,2
93969,5,2012,1
93970,5,2012,1
93971,5,2012,1
93972,5,2012,1
93973,5,2012,1
93975,5,2012,2
93978,5,2012,1
93981,5,2012,1
93982,5,2012,1
93986,5,2012,1
93989,5,2012,2
93991,5,2012,1
93992,5,2012,1
93993,5,2012,1
93995,5,2012,1
93997,5,2012,1
93998,5,2012,1
93999,5,2012,1
94000,5,2012,1
94001,5,2012,2
94003,5,2012,1
94004,5,2012,2
94006,5,2012,1
94008,5,2012,1
94010,5,2012,1
94011,5,2012,2
94014,5,2012,2
94018,5,2012,1
94019,5,2012,2
94020,5,2012,1
94021,5,2012,2
94022,5,2012,2
94023,5,2012,1
94024,5,2012,1
94025,5,2012,1
94026,5,2012,1
94029,5,2012,2
94030,5,2012,2
94031,5,2012,1
94032,5,2012,2
94033,5,2012,1
94034,5,2012,1
94035,5,2012,2
94037,5,2012,1
94040,5,2012,1
94041,5,2012,2
94042,5,2012,1
94043,5,2012,2
94044,5,2012,1
94045,5,2012,2
94046,5,2012,2
94048,5,2012,1
94049,5,2012,2
94052,5,2012,1
94053,5,2012,2
94054,5,2012,1
94056,5,2012,2
94057,5,2012,1
94059,5,2012,1
94060,5,2012,1
94061,5,2012,1
94062,5,2012,1
94063,5,2012,1
94064,5,2012,1
94065,5,2012,2
94066,5,2012,2
94067,5,2012,2
94068,5,2012,1
94069,5,2012,1
94070,5,2012,1
94071,5,2012,1
94072,5,2012,1
94073,5,2012,1
94074,5,2012,2
94075,5,2012,2
94076,5,2012,2
94077,5,2012,1
94078,5,2012,1
94079,5,2012,1
94080,5,2012,1
94082,5,2012,1
94083,5,2012,2
94085,5,2012,2
94086,5,2012,2
94087,5,2012,1
94088,5,2012,1
94091,5,2012,2
94092,5,2012,2
94093,5,2012,1
94094,5,2012,1
94095,5,2012,2
94096,5,2012,1
94097,5,2012,2
94098,5,2012,1
94099,5,2012,1
94100,5,2012,2
94103,5,2012,1
94104,5,2012,1
94105,5,2012,1
94108,5,2012,1
94109,5,2012,1
94110,5,2012,2
94112,5,2012,1
94115,5,2012,1
94116,5,2012,1
94122,5,2012,1
94138,5,2012,1
94145,5,2012,2
98201,6,2012,2
98202,6,2012,2
98204,6,2012,1
98206,6,2012,2
98223,6,2012,1
98230,6,2012,2
98252,6,2012,2
98266,6,2012,2
98309,6,2012,1
98311,6,2012,1
98315,6,2012,2
98319,6,2012,1
98323,6,2012,1
98329,6,2012,1
98334,6,2012,1
98335,6,2012,2
98338,6,2012,1
98339,6,2012,1
98340,6,2012,1
98342,6,2012,1
98343,6,2012,1
98346,6,2012,2
98347,6,2012,1
98348,6,2012,1
98353,6,2012,1
98354,6,2012,1
98356,6,2012,2
98357,6,2012,1
98360,6,2012,1
98364,6,2012,2
98370,6,2012,2
98372,6,2012,1
98378,6,2012,1
98379,6,2012,1
98382,6,2012,2
98383,6,2012,1
98384,6,2012,1
98386,6,2012,2
98389,6,2012,1
98397,6,2012,1
98423,6,2012,1
99136,6,2012,2
99146,6,2012,1
99150,6,2012,1
99178,6,2012,1
99246,6,2012,2
99252,6,2012,2
99254,6,2012,2
99257,6,2012,2
99298,6,2012,2
99307,6,2012,2
99311,6,2012,1
99324,6,2012,2
99326,6,2012,2
99330,6,2012,1
99332,6,2012,1
99334,6,2012,1
99336,6,2012,2
99350,6,2012,1
99369,6,2012,1
99374,6,2012,1
99387,6,2012,1
99388,6,2012,2
99390,6,2012,1
99703,6,2012,1
99866,6,2012,2
99878,6,2012,1
99917,6,2012,2
99924,6,2012,1
99925,6,2012,1
99956,6,2012,2
99985,6,2012,1
100026,6,2012,2
100857,6,2012,1
101008,6,2012,1
101009,6,2012,1
101165,6,2012,1
101176,6,2012,2
101229,6,2012,1
101273,6,2012,1
101286,6,2012,1
101455,6,2012,1
101748,6,2012,1
101750,6,2012,1
101751,6,2012,1
101792,6,2012,1
106396,6,2012,1
106421,6,2012,1
106460,6,2012,1
106464,6,2012,1
106473,6,2012,1
106531,6,2012,1
106552,6,2012,1
106634,6,2012,1
108133,6,2012,1
108134,6,2012,1
108137,6,2012,1
108365,6,2012,1
108366,6,2012,1
108367,6,2012,1
108370,6,2012,1
104088,7,2013,2
104992,7,2013,2
105028,7,2013,1
105276,7,2013,2
105478,7,2013,2
106137,7,2013,2
106209,7,2013,1
106376,7,2013,1
106511,7,2013,1
106538,7,2013,2
106654,7,2013,1
106683,7,2013,1
106767,7,2013,1
106867,7,2013,1
106882,7,2013,2
106885,7,2013,1
106907,7,2013,1
106916,7,2013,1
106928,7,2013,1
106935,7,2013,1
106952,7,2013,2
106954,7,2013,1
106955,7,2013,1
106988,7,2013,1
106999,7,2013,1
107025,7,2013,1
107033,7,2013,1
107055,7,2013,2
107073,7,2013,2
107109,7,2013,1
107112,7,2013,1
107128,7,2013,2
107129,7,2013,2
107144,7,2013,2
107145,7,2013,1
107162,7,2013,1
107163,7,2013,1
107164,7,2013,1
107169,7,2013,2
107170,7,2013,2
107172,7,2013,2
107175,7,2013,2
107196,7,2013,1
107197,7,2013,2
107198,7,2013,1
107201,7,2013,2
107215,7,2013,1
107216,7,2013,1
107219,7,2013,1
107220,7,2013,1
107227,7,2013,1
107241,7,2013,2
107242,7,2013,1
107243,7,2013,1
107268,7,2013,1
107270,7,2013,2
107274,7,2013,1
107275,7,2013,2
107277,7,2013,2
107278,7,2013,2
107279,7,2013,1
107280,7,2013,2
107285,7,2013,2
107290,7,2013,1
107291,7,2013,1
107292,7,2013,2
107294,7,2013,1
107296,7,2013,1
107297,7,2013,2
107300,7,2013,1
107301,7,2013,2
107305,7,2013,1
107306,7,2013,1
107308,7,2013,1
107315,7,2013,1
107325,7,2013,1
107326,7,2013,1
107362,7,2013,1
107972,7,2013,1
108052,7,2013,1
108093,7,2013,1
108185,7,2013,1
108216,7,2013,2
108245,7,2013,1
108324,7,2013,1
108347,7,2013,2
108375,7,2013,2
108376,7,2013,1
108385,7,2013,1
108472,7,2013,1
108525,7,2013,1
108528,7,2013,1
108543,7,2013,1
