paper,conf,year,status
58571,1,2010,rejected
59379,1,2010,accepted
60650,1,2010,rejected
60654,1,2010,rejected
60679,1,2010,rejected
60748,1,2010,rejected
60806,1,2010,accepted
60830,1,2010,accepted
61053,1,2010,rejected
61054,1,2010,rejected
61063,1,2010,rejected
61088,1,2010,rejected
61130,1,2010,rejected
61131,1,2010,accepted
61144,1,2010,accepted
61151,1,2010,accepted
61174,1,2010,accepted
61193,1,2010,rejected
61420,1,2010,accepted
61432,1,2010,accepted
61435,1,2010,rejected
61438,1,2010,rejected
61446,1,2010,accepted
61452,1,2010,rejected
61453,1,2010,rejected
61454,1,2010,accepted
61462,1,2010,rejected
61473,1,2010,rejected
61478,1,2010,accepted
61479,1,2010,accepted
61511,1,2010,rejected
61534,1,2010,accepted
61536,1,2010,accepted
61540,1,2010,accepted
61541,1,2010,rejected
61545,1,2010,rejected
61562,1,2010,rejected
61570,1,2010,accepted
61572,1,2010,rejected
61580,1,2010,accepted
61636,1,2010,rejected
61637,1,2010,rejected
61689,1,2010,rejected
61695,1,2010,accepted
61783,1,2010,accepted
61795,1,2010,accepted
61810,1,2010,accepted
61814,1,2010,rejected
61815,1,2010,accepted
61816,1,2010,accepted
61834,1,2010,accepted
61843,1,2010,accepted
61881,1,2010,rejected
61883,1,2010,rejected
61885,1,2010,rejected
61931,1,2010,rejected
61952,1,2010,rejected
61991,1,2010,rejected
62167,1,2010,accepted
62169,1,2010,accepted
62175,1,2010,rejected
62178,1,2010,accepted
62180,1,2010,rejected
62181,1,2010,rejected
62194,1,2010,accepted
62201,1,2010,accepted
62205,1,2010,accepted
62206,1,2010,accepted
62219,1,2010,rejected
62222,1,2010,rejected
62241,1,2010,rejected
62264,1,2010,rejected
62265,1,2010,rejected
62266,1,2010,rejected
62272,1,2010,rejected
62283,1,2010,accepted
62296,1,2010,accepted
62298,1,2010,accepted
62299,1,2010,rejected
62301,1,2010,rejected
62317,1,2010,rejected
62319,1,2010,rejected
62320,1,2010,accepted
62323,1,2010,accepted
62327,1,2010,rejected
62330,1,2010,rejected
62334,1,2010,accepted
62341,1,2010,accepted
62342,1,2010,accepted
62343,1,2010,accepted
62344,1,2010,rejected
62345,1,2010,accepted
62347,1,2010,accepted
62349,1,2010,rejected
62351,1,2010,accepted
62352,1,2010,accepted
62356,1,2010,rejected
62359,1,2010,accepted
62360,1,2010,accepted
62362,1,2010,accepted
62366,1,2010,accepted
62369,1,2010,rejected
62370,1,2010,accepted
62372,1,2010,accepted
62374,1,2010,rejected
62382,1,2010,accepted
62383,1,2010,accepted
62394,1,2010,accepted
62400,1,2010,accepted
62408,1,2010,rejected
62410,1,2010,rejected
62411,1,2010,rejected
62412,1,2010,rejected
62413,1,2010,accepted
62414,1,2010,accepted
62415,1,2010,accepted
62416,1,2010,accepted
62417,1,2010,accepted
62418,1,2010,rejected
62419,1,2010,rejected
62422,1,2010,rejected
62425,1,2010,rejected
62428,1,2010,rejected
62436,1,2010,accepted
62438,1,2010,rejected
62439,1,2010,rejected
62440,1,2010,rejected
62442,1,2010,accepted
62443,1,2010,accepted
62444,1,2010,accepted
62446,1,2010,rejected
62447,1,2010,rejected
62448,1,2010,accepted
62450,1,2010,accepted
62451,1,2010,accepted
62452,1,2010,accepted
62454,1,2010,accepted
62455,1,2010,rejected
62456,1,2010,rejected
62459,1,2010,accepted
62461,1,2010,rejected
62462,1,2010,accepted
62463,1,2010,accepted
62464,1,2010,accepted
62466,1,2010,rejected
62467,1,2010,accepted
62468,1,2010,rejected
62469,1,2010,rejected
62470,1,2010,rejected
62471,1,2010,accepted
62472,1,2010,accepted
62473,1,2010,accepted
62474,1,2010,rejected
62476,1,2010,rejected
62477,1,2010,accepted
62478,1,2010,rejected
62479,1,2010,accepted
62480,1,2010,rejected
62481,1,2010,rejected
62482,1,2010,accepted
62483,1,2010,accepted
62484,1,2010,rejected
62486,1,2010,accepted
62487,1,2010,accepted
62491,1,2010,rejected
62492,1,2010,rejected
62493,1,2010,accepted
62494,1,2010,accepted
62495,1,2010,rejected
62497,1,2010,rejected
62498,1,2010,accepted
62499,1,2010,accepted
62500,1,2010,accepted
62501,1,2010,accepted
62503,1,2010,accepted
62504,1,2010,rejected
62505,1,2010,accepted
62507,1,2010,accepted
62508,1,2010,accepted
62509,1,2010,accepted
62511,1,2010,accepted
62515,1,2010,accepted
62516,1,2010,rejected
62519,1,2010,accepted
62520,1,2010,accepted
62521,1,2010,rejected
62522,1,2010,accepted
62523,1,2010,accepted
62524,1,2010,accepted
62525,1,2010,accepted
62526,1,2010,accepted
62527,1,2010,accepted
62528,1,2010,accepted
62529,1,2010,accepted
62530,1,2010,rejected
62531,1,2010,accepted
62532,1,2010,rejected
62533,1,2010,rejected
62535,1,2010,accepted
62537,1,2010,rejected
62538,1,2010,accepted
62539,1,2010,accepted
62542,1,2010,accepted
62543,1,2010,accepted
62544,1,2010,rejected
62546,1,2010,accepted
62549,1,2010,accepted
62551,1,2010,accepted
62552,1,2010,accepted
62553,1,2010,accepted
62572,1,2010,accepted
62898,1,2010,accepted
68089,2,2010,rejected
68525,2,2010,rejected
69419,2,2010,rejected
69845,2,2010,rejected
70580,2,2010,rejected
70702,2,2010,accepted
70722,2,2010,rejected
70781,2,2010,rejected
70782,2,2010,accepted
70836,2,2010,rejected
70868,2,2010,rejected
70874,2,2010,accepted
70882,2,2010,rejected
71185,2,2010,accepted
71209,2,2010,rejected
71295,2,2010,accepted
72700,2,2010,accepted
72833,2,2010,rejected
72840,2,2010,accepted
72860,2,2010,rejected
72870,2,2010,rejected
72874,2,2010,rejected
72885,2,2010,accepted
72921,2,2010,accepted
72927,2,2010,rejected
72931,2,2010,accepted
72959,2,2010,accepted
72963,2,2010,accepted
72976,2,2010,accepted
72993,2,2010,rejected
73007,2,2010,rejected
73038,2,2010,accepted
73039,2,2010,rejected
