,paper,subtopics
1,58571,2
2,59379,13-22-31
3,60650,2-26
4,60654,2-55
5,60679,6-22-38
6,60748,21-22
7,60806,27-42
8,60830,12-39
9,61053,4-32
10,61054,26-36
11,61063,2-55
12,61088,6
13,61130,4-25-30-37
14,61131,8-14-16-22
15,61144,2-6-52
16,61151,32-27-26-36
17,61174,6
18,61193,26
19,61420,13-36-39-41
20,61432,22-3-25
21,61435,3-22-25-41
22,61438,2-6-43
23,61446,10-19-35
24,61452,5-17
25,61453,21-30
26,61454,30-39
27,61462,5-22
28,61473,2
29,61478,2-29-46
30,61479,1-25-30-53
31,61511,21
32,61534,21-41-47-51
33,61536,2-25
34,61540,10-22-31-47
35,61541,2-1-22
36,61545,3-23-31-52
37,61562,2
38,61570,24-26
39,61572,23-28-32
40,61580,22
41,61636,26-6-2-36
42,61637,6-30
43,61689,20-32
44,61695,7-30-31
45,61783,1-23-29-36
46,61795,22-30
47,61810,3-5-14-52
48,61814,6-26
49,61815,14-22
50,61816,3-12
51,61834,12-23-26-31
52,61843,15-37
53,3,2
54,61881,12-26-49-55
55,61883,6-35
56,61885,6-41
57,61931,6-30-36
58,61952,26-32
59,61991,6-25-26-53
60,62167,52
61,62169,22-31
62,62175,7-12-25-28-30-38-39
63,62178,21-23
64,4,2
65,62180,3-36
66,62181,41
67,62194,6-2-35
68,62201,3-55
69,62205,12
70,62206,12-33-37
71,62219,15-41
72,62222,1-22-25
73,62241,7-12-13
74,62264,6
75,62265,1-2
76,62266,36
77,62272,26
78,62283,7-17-25-39
79,62296,35-13-12-39
80,62298,31-19-16-42
81,62299,27-33
82,62301,9-31
83,62317,1-2-13-30-36
84,62319,7-39-41-53
85,62320,2-23-31
86,62323,13-23-41
87,62327,21-31-41
88,62330,37-23-19-16-8-42-47
89,62334,24-25-46-48
90,62341,3
91,62342,10-14-17
92,62343,3-25-36
93,62344,22
94,62345,3-41
95,62347,30
96,62349,41
97,62351,3-22
98,62352,2-25-31
99,62356,2-4
100,62359,13-30-31-41
101,62360,23-26-33
102,62362,3
103,62366,22-25-41
104,62369,3-49
105,62370,2
106,62372,23-17-30
107,62374,1-30
108,62382,1-2-36
109,62383,14-17-53
110,62394,8-41
111,62400,41
112,62408,13-27-31-41-46
113,62410,35-36
114,62411,23-25-37
115,62412,18-27
116,62413,2-3
117,62414,15-26-48
118,62415,38-31-1-47
119,62416,3-23-30
120,62417,3
121,62418,17-14-8-2-19
122,62419,3
123,1,3
124,62422,26-15-32
125,62425,23-25-31-47-48
126,62428,8-17-27
127,62436,31-32-41
128,62438,21-22-53
129,62439,7-12-13-21-27
130,62440,30-39-42
131,62442,3-12-36-51-52
