paper,subtopics
58571,2
59379,13
59379,22
59379,31
60650,2
60650,26
60654,2
60654,55
60679,6
60679,22
60679,38
60748,21
60748,22
60806,27
60806,42
60830,12
60830,39
61053,4
61053,32
61054,26
61054,36
61063,2
61063,55
61088,6
61130,4
61130,25
61130,30
61130,37
61131,8
61131,14
61131,16
61131,22
61144,2
61144,6
61144,52
61151,32
61151,27
61151,26
61151,36
61174,6
61193,26
61420,13
61420,36
61420,39
61420,41
61432,22
61432,3
61432,25
61435,3
61435,22
61435,25
61435,41
61438,2
61438,6
61438,43
61446,10
61446,19
61446,35
61452,5
61452,17
61453,21
61453,30
61454,30
61454,39
61462,5
61462,22
61473,2
61478,2
61478,29
61478,46
61479,1
61479,25
61479,30
61479,53
61511,21
61534,21
61534,41
61534,47
61534,51
61536,2
61536,25
61540,10
61540,22
61540,31
61540,47
61541,2
61541,1
61541,22
61545,3
61545,23
61545,31
61545,52
61562,2
61570,24
61570,26
61572,23
61572,28
61572,32
61580,22
61636,26
61636,6
61636,2
61636,36
61637,6
61637,30
61689,20
61689,32
61695,7
61695,30
61695,31
61783,1
61783,23
61783,29
61783,36
61795,22
61795,30
61810,3
61810,5
61810,14
61810,52
61814,6
61814,26
61815,14
61815,22
61816,3
61816,12
61834,12
61834,23
61834,26
61834,31
61843,15
61843,37
61881,12
61881,26
61881,49
61881,55
61883,6
61883,35
61885,6
61885,41
61931,6
61931,30
61931,36
61952,26
61952,32
61991,6
61991,25
61991,26
61991,53
62167,52
62169,22
62169,31
62175,7
62175,12
62175,25
62175,28
62175,30
62175,38
62175,39
62178,21
62178,23
62180,3
62180,36
62181,41
62194,6
62194,2
62194,35
62201,3
62201,55
62205,12
62206,12
62206,33
62206,37
62219,15
62219,41
62222,1
62222,22
62222,25
62241,7
62241,12
62241,13
62264,6
62265,1
62265,2
62266,36
62272,26
62283,7
62283,17
62283,25
62283,39
62296,35
62296,13
62296,12
62296,39
62298,31
62298,19
62298,16
62298,42
62299,27
62299,33
62301,9
62301,31
62317,1
62317,2
62317,13
62317,30
62317,36
62319,7
62319,39
62319,41
62319,53
62320,2
62320,23
62320,31
62323,13
62323,23
62323,41
62327,21
62327,31
62327,41
62330,37
62330,23
62330,19
62330,16
62330,8
62330,42
62330,47
62334,24
62334,25
62334,46
62334,48
62341,3
62342,10
62342,14
62342,17
62343,3
62343,25
62343,36
62344,22
62345,3
62345,41
62347,30
62349,41
62351,3
62351,22
62352,2
62352,25
62352,31
62356,2
62356,4
62359,13
62359,30
62359,31
62359,41
62360,23
62360,26
62360,33
62362,3
62366,22
62366,25
62366,41
62369,3
62369,49
62370,2
62372,23
62372,17
62372,30
62374,1
62374,30
62382,1
62382,2
62382,36
62383,14
62383,17
62383,53
62394,8
62394,41
62400,41
62408,13
62408,27
62408,31
62408,41
62408,46
62410,35
62410,36
62411,23
62411,25
62411,37
62412,18
62412,27
62413,2
62413,3
62414,15
62414,26
62414,48
62415,38
62415,31
62415,1
62415,47
62416,3
62416,23
62416,30
62417,3
62418,17
62418,14
62418,8
62418,2
62418,19
62419,3
62422,26
62422,15
62422,32
62425,23
62425,25
62425,31
62425,47
62425,48
62428,8
62428,17
62428,27
62436,31
