"subtopics","paper","conf","year","status","topic"
"1","73777","2","2010","1","1"
"1","149583","12","2016","1","1"
"1","134509","9","2015","2","1"
"1","73734","2","2010","1","1"
"1","101792","6","2012","1","1"
"1","73510","2","2010","1","1"
"1","121594","8","2014","2","1"
"1","73120","2","2010","2","1"
"1","62382","1","2010","1","1"
"1","93995","5","2012","1","1"
"1","163461","14","2017","1","1"
"1","62222","1","2010","2","1"
"1","93365","5","2012","2","1"
"1","78363","3","2011","1","1"
"1","94045","5","2012","2","1"
"1","92437","5","2012","1","1"
"1","99390","6","2012","1","1"
"1","149806","12","2016","2","1"
"1","120536","8","2014","1","1"
"1","61783","1","2010","1","1"
"1","73884","2","2010","2","1"
"1","133949","9","2015","2","1"
"1","150107","12","2016","2","1"
"1","149618","12","2016","2","1"
"1","137498","9","2015","1","1"
"1","74160","2","2010","1","1"
"1","93954","5","2012","1","1"
"1","99925","6","2012","1","1"
"1","78386","3","2011","1","1"
"1","164198","14","2017","1","1"
"1","121592","8","2014","2","1"
"1","93998","5","2012","1","1"
"1","61479","1","2010","1","1"
"1","137525","9","2015","1","1"
"1","73453","2","2010","2","1"
"1","121595","8","2014","1","1"
"1","85590","4","2011","2","1"
"1","85725","4","2011","1","1"
"1","118725","8","2014","1","1"
"1","149622","12","2016","1","1"
"1","120674","8","2014","1","1"
"1","92790","5","2012","2","1"
"1","62374","1","2010","2","1"
"1","108668","7","2013","1","1"
"1","78085","3","2011","1","1"
"1","107241","7","2013","2","1"
"1","121802","8","2014","2","1"
"1","73626","2","2010","2","1"
"1","94082","5","2012","1","1"
"1","62317","1","2010","2","1"
"1","1570287882","13","2016","2","1"
"1","85731","4","2011","1","1"
"1","77442","3","2011","2","1"
"1","94018","5","2012","1","1"
"1","92793","5","2012","1","1"
"1","108695","7","2013","1","1"
"1","72921","2","2010","1","1"
"1","62415","1","2010","1","1"
"1","101748","6","2012","1","1"
"1","99254","6","2012","2","1"
"1","78418","3","2011","1","1"
"1","107297","7","2013","2","1"
"1","134513","9","2015","2","1"
"1","62265","1","2010","2","1"
"1","94092","5","2012","2","1"
"1","84322","4","2011","2","1"
"1","62532","1","2010","2","1"
"1","94099","5","2012","1","1"
"1","62522","1","2010","1","1"
"1","73951","2","2010","2","1"
"1","93915","5","2012","1","1"
"1","78384","3","2011","2","1"
"1","108813","7","2013","1","1"
"1","61541","1","2010","2","1"
"1","93986","5","2012","1","1"
"2","58571","1","2010","2","1"
"2","137354","9","2015","1","1"
"2","73510","2","2010","1","1"
"2","1570287882","13","2016","2","1"
"2","60650","1","2010","2","1"
"2","85615","4","2011","2","1"
"2","60654","1","2010","2","1"
"2","149640","12","2016","2","1"
"2","62456","1","2010","2","1"
"2","62352","1","2010","1","1"
"2","73557","2","2010","2","1"
"2","108738","7","2013","1","1"
"2","1570165141","10","2015","1","1"
"2","93921","5","2012","2","1"
"2","108739","7","2013","2","1"
"2","78372","3","2011","1","1"
"2","85649","4","2011","1","1"
"2","106867","7","2013","1","1"
"2","78379","3","2011","1","1"
"2","132694","9","2015","2","1"
"2","1570290691","13","2016","2","1"
"2","61063","1","2010","2","1"
"2","98309","6","2012","1","1"
"2","149649","12","2016","1","1"
"2","78384","3","2011","2","1"
"2","85678","4","2011","1","1"
