,paper,conf,year,status
1,58571,1,2010,rejected
2,59379,1,2010,accepted
3,60650,1,2010,rejected
4,60654,1,2010,rejected
5,60679,1,2010,rejected
6,60748,1,2010,rejected
7,60806,1,2010,accepted
8,60830,1,2010,accepted
9,61053,1,2010,rejected
10,61054,1,2010,rejected
11,61063,1,2010,rejected
12,61088,1,2010,rejected
13,61130,1,2010,rejected
14,61131,1,2010,accepted
15,61144,1,2010,accepted
16,61151,1,2010,accepted
17,61174,1,2010,accepted
18,61193,1,2010,rejected
19,61420,1,2010,accepted
20,61432,1,2010,accepted
21,61435,1,2010,rejected
22,61438,1,2010,rejected
23,61446,1,2010,accepted
24,61452,1,2010,rejected
25,61453,1,2010,rejected
26,61454,1,2010,accepted
27,61462,1,2010,rejected
28,61473,1,2010,rejected
29,61478,1,2010,accepted
30,61479,1,2010,accepted
31,61511,1,2010,rejected
32,61534,1,2010,accepted
33,61536,1,2010,accepted
34,61540,1,2010,accepted
35,61541,1,2010,rejected
36,61545,1,2010,rejected
37,61562,1,2010,rejected
38,61570,1,2010,accepted
39,61572,1,2010,rejected
40,61580,1,2010,accepted
41,61636,1,2010,rejected
42,61637,1,2010,rejected
43,61689,1,2010,rejected
44,61695,1,2010,accepted
45,61783,1,2010,accepted
46,61795,1,2010,accepted
47,61810,1,2010,accepted
48,61814,1,2010,rejected
49,61815,1,2010,accepted
50,61816,1,2010,accepted
51,61834,1,2010,accepted
52,61843,1,2010,accepted
53,3,4,1,acepto
54,61881,1,2010,rejected
55,61883,1,2010,rejected
56,61885,1,2010,rejected
57,61931,1,2010,rejected
58,61952,1,2010,rejected
59,61991,1,2010,rejected
60,62167,1,2010,accepted
61,62169,1,2010,accepted
62,62175,1,2010,rejected
63,62178,1,2010,accepted
64,4,1,3,acepto
65,62180,1,2010,rejected
66,62181,1,2010,rejected
67,62194,1,2010,accepted
68,62201,1,2010,accepted
69,62205,1,2010,accepted
70,62206,1,2010,accepted
71,62219,1,2010,rejected
72,62222,1,2010,rejected
73,62241,1,2010,rejected
74,62264,1,2010,rejected
75,62265,1,2010,rejected
76,62266,1,2010,rejected
77,62272,1,2010,rejected
78,62283,1,2010,accepted
79,62296,1,2010,accepted
80,62298,1,2010,accepted
81,62299,1,2010,rejected
82,62301,1,2010,rejected
83,62317,1,2010,rejected
84,62319,1,2010,rejected
85,62320,1,2010,accepted
86,62323,1,2010,accepted
87,62327,1,2010,rejected
88,62330,1,2010,rejected
89,62334,1,2010,accepted
90,62341,1,2010,accepted
91,62342,1,2010,accepted
92,62343,1,2010,accepted
93,62344,1,2010,rejected
94,62345,1,2010,accepted
95,62347,1,2010,accepted
96,62349,1,2010,rejected
97,62351,1,2010,accepted
98,62352,1,2010,accepted
99,62356,1,2010,rejected
100,62359,1,2010,accepted
101,62360,1,2010,accepted
102,62362,1,2010,accepted
103,62366,1,2010,accepted
104,62369,1,2010,rejected
105,62370,1,2010,accepted
106,62372,1,2010,accepted
107,62374,1,2010,rejected
108,62382,1,2010,accepted
109,62383,1,2010,accepted
110,62394,1,2010,accepted
111,62400,1,2010,accepted
112,62408,1,2010,rejected
113,62410,1,2010,rejected
114,62411,1,2010,rejected
115,62412,1,2010,rejected
116,62413,1,2010,accepted
117,62414,1,2010,accepted
118,62415,1,2010,accepted
119,62416,1,2010,accepted
120,62417,1,2010,accepted
121,62418,1,2010,rejected
122,62419,1,2010,rejected
123,1,4,2,rejected
124,62422,1,2010,rejected
125,62425,1,2010,rejected
126,62428,1,2010,rejected
127,62436,1,2010,accepted
128,62438,1,2010,rejected
129,62439,1,2010,rejected
130,62440,1,2010,rejected
131,62442,1,2010,accepted
132,62443,1,2010,accepted
133,62444,1,2010,accepted
134,62446,1,2010,rejected
135,62447,1,2010,rejected
136,62448,1,2010,accepted
137,62450,1,2010,accepted
138,62451,1,2010,accepted
139,62452,1,2010,accepted
140,62454,1,2010,accepted
141,62455,1,2010,rejected
142,62456,1,2010,rejected
143,4,3,1,**
144,62459,1,2010,accepted
145,62461,1,2010,rejected
146,62462,1,2010,accepted
147,62463,1,2010,accepted
148,62464,1,2010,accepted
149,62466,1,2010,rejected
150,62467,1,2010,accepted
151,62468,1,2010,rejected
152,62469,1,2010,rejected
153,62470,1,2010,rejected
154,62471,1,2010,accepted
155,62472,1,2010,accepted
156,62473,1,2010,accepted
157,62474,1,2010,rejected
158,62476,1,2010,rejected
159,62477,1,2010,accepted
160,62478,1,2010,rejected
161,62479,1,2010,accepted
162,62480,1,2010,rejected
163,62481,1,2010,rejected
164,62482,1,2010,accepted
165,62483,1,2010,accepted
166,62484,1,2010,rejected
167,62486,1,2010,accepted
168,62487,1,2010,accepted
169,62491,1,2010,rejected
170,62492,1,2010,rejected
171,62493,1,2010,accepted
172,62494,1,2010,accepted
173,62495,1,2010,rejected
174,62497,1,2010,rejected
175,62498,1,2010,accepted
176,62499,1,2010,accepted
177,62500,1,2010,accepted
178,62501,1,2010,accepted
179,62503,1,2010,accepted
180,62504,1,2010,rejected
181,62505,1,2010,accepted
182,62507,1,2010,accepted
183,62508,1,2010,accepted
184,62509,1,2010,accepted
185,62511,1,2010,accepted
186,1,3,2,rejected
187,62515,1,2010,accepted
188,62516,1,2010,rejected
189,62519,1,2010,accepted
190,62520,1,2010,accepted
191,62521,1,2010,rejected
192,62522,1,2010,accepted
193,62523,1,2010,accepted
194,62524,1,2010,accepted
195,62525,1,2010,accepted
196,62526,1,2010,accepted
197,62527,1,2010,accepted
198,62528,1,2010,accepted
199,62529,1,2010,accepted
200,62530,1,2010,rejected
201,62531,1,2010,accepted
202,62532,1,2010,rejected
203,62533,1,2010,rejected
204,62535,1,2010,accepted
205,62537,1,2010,rejected
206,62538,1,2010,accepted
207,62539,1,2010,accepted
208,62542,1,2010,accepted
209,62543,1,2010,accepted
210,62544,1,2010,rejected
211,62546,1,2010,accepted
212,2,4,1,**
213,62549,1,2010,accepted
214,62551,1,2010,accepted
215,62552,1,2010,accepted
216,62553,1,2010,accepted
217,62572,1,2010,accepted
218,62898,1,2010,accepted
219,68089,2,2010,rejected
220,68525,2,2010,rejected
221,69419,2,2010,rejected
222,69845,2,2010,rejected
223,70580,2,2010,rejected
224,70702,2,2010,accepted
225,70722,2,2010,rejected
226,70781,2,2010,rejected
227,70782,2,2010,accepted
228,70836,2,2010,rejected
229,70868,2,2010,rejected
230,70874,2,2010,accepted
231,70882,2,2010,rejected
232,71185,2,2010,accepted
233,71209,2,2010,rejected
234,71295,2,2010,accepted
235,72700,2,2010,accepted
236,72833,2,2010,rejected
237,72840,2,2010,accepted
238,72860,2,2010,rejected
239,72870,2,2010,rejected
240,72874,2,2010,rejected
241,72885,2,2010,accepted
242,72921,2,2010,accepted
243,72927,2,2010,rejected
244,72931,2,2010,accepted
245,72959,2,2010,accepted
246,72963,2,2010,accepted
247,72976,2,2010,accepted
248,72993,2,2010,rejected
249,73007,2,2010,rejected
250,73038,2,2010,accepted
251,73039,2,2010,rejected
252,73040,2,2010,accepted
253,73042,2,2010,rejected
254,73044,2,2010,accepted
255,73066,2,2010,accepted
256,73087,2,2010,rejected
257,73120,2,2010,rejected
258,73152,2,2010,rejected
259,73171,2,2010,accepted
260,73173,2,2010,rejected
261,73175,2,2010,rejected
262,73176,2,2010,rejected
263,73207,2,2010,accepted
264,73216,2,2010,accepted
265,73219,2,2010,accepted
266,73223,2,2010,rejected
267,73230,2,2010,accepted
268,73243,2,2010,rejected
269,73314,2,2010,accepted
270,73356,2,2010,accepted
271,73385,2,2010,accepted
272,1,2,4,accepted
273,73453,2,2010,rejected
274,1,2,4,acepto
275,73460,2,2010,accepted
276,73493,2,2010,accepted
277,73510,2,2010,accepted
278,73516,2,2010,accepted
279,73519,2,2010,rejected
280,73526,2,2010,accepted
281,73556,2,2010,accepted
282,73557,2,2010,rejected
283,73558,2,2010,accepted
284,73626,2,2010,rejected
285,73647,2,2010,rejected
286,73649,2,2010,accepted
287,73666,2,2010,accepted
288,73710,2,2010,accepted
289,73730,2,2010,accepted
